"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000117519"	-2.22745680320733	10.2071074172392	-7.4343729904402	2.34383047190591e-07	0.00371567444711244	7.1499828436751
"ENSG00000178381"	3.37527022726999	8.87333249152552	6.76935597910801	9.79480385841122e-07	0.00776385127836966	5.78999953075299
"ENSG00000145604"	-2.13269402124737	11.0572683421845	-6.30745390664311	2.73580385116448e-06	0.0144568994841701	4.80743265312554
"ENSG00000197548"	2.26314586700023	5.37030899216106	6.02656818313779	5.17543849127938e-06	0.015106578215426	4.1402365958467
"ENSG00000140368"	4.1106130494618	2.98798436404245	5.93308620647073	6.41180849561429e-06	0.015106578215426	3.55097702068842
"ENSG00000253368"	4.88074196111942	-3.0950218500133	5.8404172817188	7.9364640038724e-06	0.015106578215426	1.903932848679
"ENSG00000136521"	2.02992450382154	6.76329524873749	5.80373875651456	8.63794359592274e-06	0.015106578215426	3.71456600828301
"ENSG00000206408"	5.19716105654951	-1.95419367686125	5.76493593561586	9.44915523807071e-06	0.015106578215426	2.2199186715203
"ENSG00000228605"	5.19716105654951	-1.95419367686125	5.76493593561586	9.44915523807071e-06	0.015106578215426	2.2199186715203
"ENSG00000170340"	-2.49775867239877	10.8048984284603	-5.76129475375215	9.52916054716838e-06	0.015106578215426	3.60812888962801
"ENSG00000132823"	2.8114354253442	4.71502673721671	5.71326979140084	1.06514074714714e-05	0.0153506147859306	3.40764273167754
"ENSG00000124562"	2.60527896438869	4.93657994757987	5.63973220860221	1.26371525889931e-05	0.016694731666109	3.25457988964211
"ENSG00000140287"	2.46580856195421	6.28153346994326	5.45058120437437	1.96651370773729e-05	0.0239808783144301	2.94346410951503
"ENSG00000164366"	2.19758206078372	3.98035197001057	5.36980628869909	2.37771857596686e-05	0.0269242661320018	2.63580705700663
"ENSG00000162222"	2.30472219709068	4.39516905332089	5.27784892097799	2.95357963899551e-05	0.0312153986779972	2.45949135443873
"ENSG00000117479"	-2.1351660668162	8.71723152157741	-5.23415010613879	3.27504921570166e-05	0.032449597010324	2.44611274943046
"ENSG00000105251"	2.79124643180905	5.56417280808791	5.1743621866885	3.7732629811097e-05	0.0351867870820777	2.32775011613285
"ENSG00000100162"	4.22566622071583	0.350325588811603	5.09925132128236	4.50972839167942e-05	0.0397181801073855	1.38911141075062
"ENSG00000115109"	-2.1160114258556	9.14014400212858	-5.05968582978138	4.95464980136584e-05	0.0412545853931678	2.04868351293164
"ENSG00000204977"	3.08208069570636	4.82982191816573	5.03900545730411	5.20464081160258e-05	0.0412545853931678	1.98862908598934
"ENSG00000156509"	-2.17708592214243	6.72100552168262	-4.93707050086558	6.63664695893216e-05	0.0419960035826535	1.80884450640858
"ENSG00000148219"	1.79516868803899	5.46328685366133	4.90128882467873	7.22888447824091e-05	0.0419960035826535	1.72967292947161
"ENSG00000236782"	2.57203774954553	3.66559201913931	4.89656311880923	7.31099735338898e-05	0.0419960035826535	1.62332830941277
"ENSG00000141562"	2.6847907901253	4.51972246865051	4.88623487397461	7.49375514743051e-05	0.0419960035826535	1.66853710416997
"ENSG00000127955"	-1.66066435309944	7.99260618247041	-4.88091073018608	7.58976179917102e-05	0.0419960035826535	1.66298712439923
"ENSG00000148700"	-1.64058923439802	9.65459857494094	-4.87488229849281	7.69996956476448e-05	0.0419960035826535	1.61253707579026
"ENSG00000135090"	-1.67486678773227	8.05889288617206	-4.86734940338366	7.83995619936523e-05	0.0419960035826535	1.62875672891767
"ENSG00000085415"	-2.11734360859202	6.83572137120315	-4.8601806903273	7.97556214264598e-05	0.0419960035826535	1.63805117217637
"ENSG00000121690"	-1.77535494364063	10.0624387644093	-4.85694136565615	8.03761314120314e-05	0.0419960035826535	1.56895812408097
"ENSG00000099942"	-1.68077248478821	7.89674020671952	-4.84112206724159	8.3477174395218e-05	0.0419960035826535	1.56887386929431
"ENSG00000050405"	-2.10959742021318	10.3632606667583	-4.83628363961031	8.4449567233791e-05	0.0419960035826535	1.51397711985623
"ENSG00000100319"	3.20765560051609	1.39246569786755	4.8346974109568	8.47708392509248e-05	0.0419960035826535	1.1476252048703
"ENSG00000140968"	-2.65711013603616	7.46812702200365	-4.81640623579415	8.85658827460528e-05	0.0425465133082781	1.53224229241208
"ENSG00000132406"	-3.23153482301566	6.65745990751022	-4.78814758434144	9.4769019827953e-05	0.0434315134328141	1.47516385006598
"ENSG00000159720"	1.7578723060953	5.55508041621538	4.78325198820729	9.58874011321828e-05	0.0434315134328141	1.46892598396943
"ENSG00000174276"	4.85811136827305	-1.01017046419228	4.77037205065361	9.88937991294425e-05	0.0435489832666403	0.665250159305265
"ENSG00000183324"	3.23355034776075	8.32867930877527	4.74672810927784	0.000104662440336941	0.0448436126124736	1.33433254677385
"ENSG00000156374"	-1.87389382182412	6.86762463931258	-4.72929054233335	0.000109133263899986	0.0451559667817491	1.34407905476661
"ENSG00000214530"	4.18739926705331	-1.39952875879576	4.69316522106068	0.000119017722526124	0.0451559667817491	0.357061983452349
"ENSG00000134317"	-1.84749052283948	6.72793520060664	-4.6862852061839	0.00012100010538319	0.0451559667817491	1.24618162375442
"ENSG00000114978"	-1.66062004141922	7.18632204764577	-4.67383621613633	0.000124672062327312	0.0451559667817491	1.21297803119591
"ENSG00000078668"	1.98858176052067	5.51511956739276	4.66976293909739	0.00012589772907807	0.0451559667817491	1.21789250204861
"ENSG00000106028"	2.47539338226167	4.12736693911505	4.66716524944753	0.000126685716332538	0.0451559667817491	1.14783119448201
"ENSG00000066583"	-1.5499531784352	8.14964832351773	-4.64111367283796	0.0001348682533265	0.0451559667817491	1.11308877308529
"ENSG00000135900"	-1.48795863414248	8.02046773464413	-4.63318955929364	0.00013746117162545	0.0451559667817491	1.09738944092024
"ENSG00000140941"	-1.30664517390327	8.125970203429	-4.62598817218665	0.000139861106994051	0.0451559667817491	1.07819632162792
"ENSG00000276187"	1.87227501294755	4.07362568599083	4.62373724719404	0.000140619868655513	0.0451559667817491	1.05251360806993
"ENSG00000164758"	-3.43306658849387	5.62441802289821	-4.6149016719375	0.000143638509131421	0.0451559667817491	1.04687861363624
"ENSG00000133106"	-1.84455400668233	7.99101053423708	-4.60609333586086	0.000146712764128198	0.0451559667817491	1.03816095075228
"ENSG00000057608"	1.3932683381116	7.40859872014608	4.60053599159906	0.000148686347905331	0.0451559667817491	1.02157714526916
"ENSG00000102471"	-1.63895078056389	8.02305119916016	-4.58635815668008	0.000153843194878098	0.0451559667817491	0.986936054184046
"ENSG00000176273"	-1.86689187966982	8.16846482023405	-4.58472288840918	0.00015444944215551	0.0451559667817491	0.98344182461285
