"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000003"	137.940104430306	-1.00688610924339	1.14339825864083	-0.880608398372311	0.37852981138761	0.768340735382743
"ENSG00000000419"	1047.64136856609	-0.628256035039456	0.336541028996195	-1.86680369081108	0.061929006909378	0.437368542904294
"ENSG00000000457"	1234.3797323991	0.708454059912505	0.437701864266067	1.61857674766917	0.105538361427889	0.526178745838005
"ENSG00000000460"	561.409764049268	-0.140110502799034	0.537189523937043	-0.260821361094626	0.794230270685028	0.943664376329174
"ENSG00000000971"	42.6818123965613	-1.54966303993987	1.25780962736766	-1.23203305668999	0.21793673604455	0.658681861972856
"ENSG00000001036"	154.867973398775	-3.21443542078969	1.02603621395349	-3.13286741449792	0.00173107618723778	0.112035250838029
"ENSG00000001084"	415.422063804721	0.699210034630598	0.497453174044347	1.40557960248991	0.159848996481307	0.596385523408727
"ENSG00000001167"	768.163887655119	-0.0541030180637911	0.69241222336159	-0.0781370060180718	0.937719070620969	0.98299625056723
"ENSG00000001460"	1027.90638682865	-0.0351498505105254	0.306300485941685	-0.114756104295628	0.908638442819076	0.977187984386267
"ENSG00000001461"	1885.71738202723	0.329995815673859	0.567388336025356	0.58160486340895	0.560832866289944	0.858669524631802
"ENSG00000001497"	341.112233045245	0.81326308019564	0.887228183061198	0.916633506151308	0.359334720497145	0.758778502785237
"ENSG00000001561"	26.1506984295171	1.01674679951052	1.74824404688024	0.58158173129485	0.560848451231114	0.858669524631802
"ENSG00000001626"	1125.23079604711	-0.852977983696729	0.581653609583423	-1.46647071322677	0.142520094153158	0.577293999430972
"ENSG00000001629"	658.304358897706	-0.486165087064047	0.537778756663417	-0.904024342799257	0.365982493667344	0.762051271781991
"ENSG00000001630"	843.365274651194	-2.35588742942555	0.747863390931313	-3.15015744585621	0.00163182495499989	0.107588765446963
"ENSG00000001631"	964.937053816288	-0.567665254287803	0.488743658746436	-1.16147850540668	0.245447359433315	0.676545455887327
